,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
456167,2018-04-10 10:00:00,34.82,54.45,,51.45,,,1.13,,,,,,
456168,2018-04-10 11:00:00,31.82,57.8,,33.83,,,1.02,10.99,,,,,
456169,2018-04-10 12:00:00,29.61,51.04,,16.6,,,0.94,8.16,,,,,
456170,2018-04-10 13:00:00,33.37,51.61,,18.79,,,0.91,6.62,,,,,
456171,2018-04-10 14:00:00,36.71,58.0,,23.19,,,0.91,6.8,,,,,
456172,2018-04-10 15:00:00,35.88,56.18,,20.0,,7.45,0.86,9.94,,,,,
456173,2018-04-10 16:00:00,37.16,53.08,,32.31,,7.46,0.97,19.37,,,,,
456174,2018-04-10 17:00:00,37.37,53.86,,49.59,,0.5,0.89,22.12,,,,,
456175,2018-04-10 18:00:00,35.42,53.62,,73.12,,0.04,0.79,70.17,,,,,
456176,2018-04-10 19:00:00,36.37,57.87,,69.59,,0.74,0.99,88.5,,,,,
456177,2018-04-10 20:00:00,37.21,65.49,,49.48,,0.77,1.13,53.98,,,,,
456178,2018-04-10 21:00:00,33.65,60.85,,44.02,,4.56,1.07,11.93,,,,,
456179,2018-04-10 22:00:00,29.83,58.86,,46.81,,0.36,1.19,8.4,,,,,
456180,2018-04-10 23:00:00,32.09,65.36,,44.74,,0.83,1.18,13.97,,,,,
456181,2018-04-11 00:00:00,36.15,63.77,,39.71,,2.06,1.06,7.52,,,,,
456182,2018-04-11 01:00:00,26.67,63.68,,,,,1.11,7.97,,,,,60.0
456183,2018-04-11 02:00:00,25.24,63.58,,,,0.8,1.08,10.78,,,,,60.0
456184,2018-04-11 03:00:00,23.06,61.27,,,,0.58,1.09,10.87,,,,,60.0
456185,2018-04-11 04:00:00,22.75,59.56,,,,1.24,1.09,7.03,,,,,60.0
456186,2018-04-11 05:00:00,27.5,54.61,,,,2.66,0.83,4.35,,,,,60.0
456187,2018-04-11 06:00:00,28.86,50.49,,38.49,,1.46,0.92,4.08,,,,,59.0
456188,2018-04-11 07:00:00,25.74,54.02,,32.43,,2.0,0.97,3.96,,,,,58.0
456189,2018-04-11 08:00:00,28.43,52.66,,23.66,,3.3,0.93,5.96,,,,,57.0
456190,2018-04-11 09:00:00,25.81,48.77,,20.33,,4.65,0.86,7.59,,,,,57.0
456191,2018-04-11 10:00:00,23.53,48.24,,17.46,,8.17,0.8,5.98,,,,,57.0
456192,2018-04-11 11:00:00,26.68,46.23,,20.75,,7.44,0.81,5.48,,,,,56.0
456193,2018-04-11 12:00:00,23.76,42.14,,14.18,,8.2,0.81,4.96,,,,,56.0
456194,2018-04-11 13:00:00,,,,,,9.55,0.63,3.9,,,,,56.0
456195,2018-04-11 14:00:00,,,,,,,0.49,64.32,,,,,56.0
456196,2018-04-11 15:00:00,47.01,39.77,,30.14,,3.9,2.16,,,,,,102.0
456197,2018-04-11 16:00:00,49.88,42.14,2.63,33.66,31.12,6.0,1.16,,51.26,3.78,0.24,,102.0
456198,2018-04-11 17:00:00,44.43,45.63,2.98,29.07,32.05,4.52,0.98,,40.53,4.36,0.47,,102.0
456199,2018-04-11 18:00:00,32.7,46.4,3.48,40.31,43.8,3.33,0.93,,24.46,4.89,0.74,,102.0
456200,2018-04-11 19:00:00,26.9,44.49,4.23,40.13,44.36,2.01,1.02,,16.86,4.97,0.9,,102.0
456201,2018-04-11 20:00:00,25.47,49.15,3.51,34.8,38.31,1.79,1.07,,13.21,4.8,0.97,,102.0
456202,2018-04-11 21:00:00,24.71,53.92,4.27,34.84,39.11,2.69,0.96,,28.21,4.84,1.09,,102.0
456203,2018-04-11 22:00:00,22.88,46.75,2.23,44.15,46.38,2.23,0.83,,47.96,4.7,1.15,,102.0
456204,2018-04-11 23:00:00,19.73,41.8,2.79,84.39,87.19,0.48,0.92,,25.44,4.81,1.51,,58.0
456205,2018-04-12 00:00:00,20.74,39.6,2.29,70.11,72.4,0.92,0.89,,27.98,5.27,2.1,,54.0
456206,2018-04-12 01:00:00,18.25,40.76,1.99,30.56,32.56,3.69,0.67,,52.29,5.65,2.24,,54.0
456207,2018-04-12 02:00:00,12.78,47.35,1.79,29.14,30.94,4.05,0.6,,50.17,5.84,2.55,,54.0
456208,2018-04-12 03:00:00,9.52,45.43,2.37,33.69,36.07,3.38,0.65,,39.64,6.48,2.75,,54.0
456209,2018-04-12 04:00:00,10.28,41.31,1.88,26.47,28.35,4.13,0.66,,50.38,7.48,3.06,,52.0
456210,2018-04-12 05:00:00,15.81,40.77,2.47,29.42,31.89,4.33,0.69,,37.91,7.37,3.07,,52.0
456211,2018-04-12 06:00:00,17.53,38.63,2.63,40.46,43.08,2.29,0.8,,27.53,6.85,2.92,,52.0
456212,2018-04-12 07:00:00,16.39,43.88,3.34,39.59,42.93,2.24,0.82,,31.24,6.72,3.09,,53.0
456213,2018-04-12 08:00:00,23.24,47.98,5.3,42.89,48.19,2.62,0.92,,31.33,6.62,3.2,,54.0
456214,2018-04-12 09:00:00,25.41,44.75,4.72,34.65,39.37,2.85,0.85,,46.16,6.62,3.04,,53.0
456215,2018-04-12 10:00:00,23.47,42.11,3.53,26.28,29.81,5.38,0.86,,47.32,6.24,2.98,,52.0
456216,2018-04-12 11:00:00,23.18,45.55,3.4,19.96,23.36,5.27,0.9,,50.44,6.0,2.95,,51.0
456217,2018-04-12 12:00:00,24.88,47.57,2.94,17.2,20.14,5.55,0.94,,61.61,5.42,2.72,,62.0
456218,2018-04-12 13:00:00,33.86,47.5,2.77,23.04,25.81,7.04,0.92,,69.98,4.55,1.27,,70.0
456219,2018-04-12 14:00:00,35.68,53.24,2.95,21.53,24.38,5.71,0.93,,64.19,3.54,0.05,,70.0
456220,2018-04-12 15:00:00,33.32,54.18,2.79,25.62,28.4,7.02,0.96,,67.2,3.62,0.07,,70.0
456221,2018-04-12 16:00:00,24.29,38.18,0.42,49.04,38.93,2.84,0.2,,47.75,0.0,0.0,,70.0
456222,2018-04-12 17:00:00,25.24,40.2,3.14,39.95,43.09,4.01,0.51,,34.9,2.97,0.03,,70.0
456223,2018-04-12 18:00:00,28.91,44.81,2.71,44.7,47.41,4.51,0.42,,28.96,5.2,0.09,,70.0
456224,2018-04-12 19:00:00,25.77,44.65,2.48,29.12,31.6,5.26,0.23,,54.11,5.13,0.31,,70.0
